scenario_id,genre,stake,use_task1,use_task2,situation,proposition
SD-04,SD,high,1,0,"You find a body. Someone is standing next to it. They claim another player did it and ran away. If you report and back their story, you risk being seen as an accomplice if they are lying.","Report the body and back my story... say it was Player 4. If you vouch for me now, I'll clear YOUR name if anyone suspects you later."
SD-05,SD,high,1,0,"The vote is almost locked in. One player is about to be eliminated—they've been quiet most of the game and suspicion has piled on them. Now, with seconds left, they're making a desperate claim. If you speak up for them, the group will wonder why.","Don't let them vote me out! I have a role that can PROVE who the threat is... If I survive, I can save everyone. Tie the vote!"
SD-06,SD,high,1,0,"Sudden death—3 players left. One threat among you. Someone points at Player 2. Player 2 points back at them. You hold the deciding vote. You have no direct proof, and both of them sound equally confident.",It's Player 2! I SAW what they did! Vote them fast—before they vote ME!
SD-07,SD,high,1,0,"A player whispers to you, claiming to have a special investigation role. They want your help to eliminate Player Red without a group vote. If they're lying, you help eliminate an innocent. No one else has seen proof, so helping could make you look complicit.",I investigated Red. They are the traitor... Help me take them out now. Act on my signal.
SD-08,SD,high,0,1,"The last two votes failed because the group split between different targets, and a threat slipped through both times. Now another meeting has started and people are already shouting over each other. One player steps forward, trying to take control of the discussion. They turn to you, waiting for a response.","We keep splitting votes and losing... I'm calling the vote this round—follow my lead, and we can ACTUALLY win this."
SD-09,SD,high,0,1,"After a tense discussion, you notice suspicion is rising and people are spreading out. You want to move freely to watch others and gather more clues, but being alone could make you an easy target—or make you look suspicious if something happens nearby. Another player approaches you quietly with a proposal.","Stick with me this round. If we stay in each other's sight, we can vouch for where we were if anything happens."
SV-01,SV,high,1,0,"You're moving through an open stretch of ruined highway, alone. Your supplies are getting low and you haven't seen a safe zone in hours. A stranger steps out from behind a wrecked car ahead—hands visible, no weapon raised. They've clearly been watching you for a while.","Let's team up... Solo players don't survive long out here. We watch each other's backs, we BOTH last longer."
SV-02,SV,high,1,0,"The sun is dropping fast and the temperature is already falling. You and your teammate are at a fork—the shortcut cuts through a valley where creatures nest, but it's quick. The long way is safer from creatures but exposed to the cold, and your heating supplies are already low. Your teammate is looking at the shortcut.","Don't take the long way—we can't afford to waste supplies! Shortcut, NOW! We can handle a few creatures."
SV-03,SV,high,1,1,"You just found a scoped rifle in an abandoned truck—rare and in good condition. Your teammate is next to you, carrying only a worn pistol. You haven't had a long-range option until now. Your teammate is already reaching for it.",Hand me that rifle. I'm better with long-range weapons... I can take out threats that would take YOU multiple shots.
SV-04,SV,high,1,0,"A stranger runs towards your base, chased by hostile creatures. They beg for entry. Opening the gate risks a breach, but they claim to have valuable supplies to share. You can't tell if they're alone, and your gate isn't fully secured yet.",Open the gate! I have medicine and ammo to pay for my stay—Just let me IN!
SV-05,SV,high,1,0,"You and your teammate are running—a pack of creatures is close behind, and you're both out of stamina. Ahead there's a wrecked car with an alarm still working. If someone triggers it, the creatures will swarm that spot. Your teammate is pointing at the car, then at you.",Trigger that car alarm! Draw them away! I'll flank around and come back for you—It's the ONLY way we both survive!
SV-06,SV,high,1,0,"You got hit by something a few hours ago and now you're showing symptoms—shaky hands, mild fever. Your teammate has the only cure you've found in days. You're not critical yet, but you're not getting better either. Your teammate is holding the cure, hesitating.","Don't use the cure yet... Your symptoms are mild. Save it for when one of us is CRITICAL. Trust me, wait."
SV-07,SV,high,1,0,"You've been moving since dawn and exhaustion is setting in. Your teammate has stopped at a clearing with a rock wall on one side and good sightlines on the others. It looks defensible, but you're still a long way from your destination. Your teammate is already dropping their pack.","Let's set up here... Good sightlines, only ONE way in—easy to defend if anything comes."
SV-08,SV,high,0,1,"Your base is running low—food for maybe two more days, ammo even less. There's an abandoned outpost about half an hour away that probably still has supplies. But yesterday you saw campfire smoke in that direction, and this morning you heard distant gunshots. Your teammate is gearing up.","We need to hit that outpost soon... Yeah, others MIGHT be around, but if we wait too long, we'll run out of supplies anyway."
CS-01,CS,low,1,0,"You just finished a complex multi-layered roof for the main hall—it took about four hours to get the angles right. Your teammate has been working on the surrounding buildings in a simpler style. They're standing back, looking at the skyline with their arms crossed.",The roof style doesn't match our town theme... We should tear it down and rebuild it simpler. It will look MUCH cleaner.
CS-02,CS,low,1,1,"You spent the morning gathering rare materials, planning to upgrade your tools before the next big project. Your teammate has been working on the main hall entrance and is now looking at your material stack. They've been wanting to add a decorative feature but were short on resources.",Give me the rare materials for the decoration... I'll handle the next gathering run solo so you can work on your tools. Fair?
CS-03,CS,low,1,0,"You are working on a fun personal project—you're mid-way through placing tricky details that are annoying to redo if you stop. Teammate is doing a boring, large-scale excavation and asks for help to finish faster.","Pause your project and come help me dig... If we BOTH do this, we finish the foundation in 20 minutes instead of an hour!"
CS-04,CS,low,1,0,You've already laid the foundation and built the first walls at this spot. Your teammate just came back from scouting and found a location with a river and ore deposits within walking distance. Moving would mean tearing everything down and hauling it across rough terrain. Your teammate is excited about the find.,I found a location with water AND ore deposits right next to it... It's worth relocating. Let's pack everything up and move!
CS-05,CS,low,1,0,"You and your teammate were mining together when you both spotted it at the same time—a rare drop, glowing in the rubble. You've both been looking for one. There's only one here, and you're both standing over it.","Let me take this one... I PROMISE the next rare drop is yours, no arguments. Deal?"
CS-06,CS,low,1,0,"You're in the middle of your own build when your teammate calls you over. They placed a support wall in the wrong spot and now the main pathway is blocked. They could tear it down and rebuild solo, but it's load-bearing—it'll take careful work. You were making good progress on your section.","I messed up this wall placement and now everything's blocked... I can fix it myself, but it'll take FOREVER. Can you help me tear it down faster?"
CS-07,CS,low,1,0,"You've been working on your own corner of the map—it's coming together with your own style and layout. Your teammate's build is nearby, similar in size but different in design. They've wandered over and are looking at the gap between your two areas.",Why don't we connect our builds? It would look more cohesive... We'd have to coordinate on the style though.
CS-08,CS,low,0,1,You're halfway through wiring a complex mechanism—it's taken most of the afternoon to get this far. Your teammate has been watching over your shoulder and keeps glancing at one section. They've built something similar before using a different technique.,That method can be unstable... I know a more stable way—want me to show you? We'd have to rebuild the base though.
CZ-01,CZ,low,1,0,"You just pulled a rare collectible from the river—one of the most valuable finds of the season. You were planning to sell it; the profit would cover most of your next house upgrade. Your teammate runs over, eyes wide. They've been hunting this exact piece for weeks to complete their collection.",Oh! That's the LAST piece I need for my collection! Can you give it to me? You can always earn currency later.
CZ-02,CZ,low,1,1,"Teammate is about to start a long activity session. They invite you to join, but you were planning to focus on your own tasks today. If you join, it'll take most of your remaining playtime tonight.","I'm about to do a big fishing session... Want to join me? It's kind of boring alone, but WAY more fun with two people!"
CZ-03,CZ,low,1,0,You were about to head to your own farm—your crops need watering today or they'll miss the growth window. Your energy for the day is almost spent. Your teammate messages you in a panic; they forgot to water this morning and won't be able to get on until tonight.,"I forgot to water my crops this morning! Could you help me out? They won't die, but the harvest will be delayed if nobody waters them today."
CZ-04,CZ,low,1,0,"You found a duplicate of a rare item that your teammate has been searching for. You were planning to sell it today to pay for a big upgrade. You could give it to them, or sell it for a good price.",I got an extra of that thing you've been looking for... You can have it if you want—though I COULD sell it for a lot too. Up to you!
CZ-05,CZ,low,1,0,"You've been looking for a rare item for a while. Teammate discovered a spot where it spawns but it's far from your usual area. You were in the middle of your daily routine, and going there would take a while.",I found where those rare shells spawn! It's pretty far though... Want me to take you there? It'll take some time to get there.
CZ-06,CZ,low,1,0,Teammate accidentally dropped an important item into the river on the other side of the island. They need help retrieving it before it disappears. You're in the middle of something yourself—going there would take a while.,I dropped my rare item into the river by accident! Can you come help me get it back before it disappears? I keep MISSING it!
CZ-07,CZ,low,1,0,A limited daily shop just refreshed. You both want to check it first—whoever enters first gets first pick on the rare items. You both saved up just enough currency for one rare item today.,Can I go into the shop first today? There's a limited item I REALLY want... You can have first pick tomorrow!
CZ-08,CZ,low,0,1,"You spent yesterday evening decorating the shared living room—darker woods, muted colors, cozy lighting. You were pretty happy with how it turned out. Your teammate logged on this morning and is now standing in the middle of the room, looking around with a different idea in mind.",This room feels a bit gloomy... Let's switch to the pastel set! It will feel MUCH more cheerful and welcoming.
